passenger_number,Class,Sex,Age,Survived
265,3rd,Male,Adult,No
266,3rd,Male,Adult,No
267,Crew,Male,Adult,No
268,Crew,Male,Adult,No
269,Crew,Female,Adult,Yes
270,3rd,Female,Adult,No
271,Crew,Female,Adult,Yes
272,Crew,Male,Adult,Yes
273,Crew,Male,Adult,No
274,2nd,Male,Adult,No
275,Crew,Male,Adult,No
276,3rd,Male,Adult,No
277,Crew,Male,Adult,No
278,1st,Male,Adult,No
279,1st,Male,Adult,No
280,3rd,Male,Adult,Yes
281,Crew,Male,Adult,No
282,Crew,Male,Adult,No
283,3rd,Female,Adult,No
284,Crew,Male,Adult,No
285,3rd,Male,Adult,Yes
286,3rd,Female,Child,No
287,Crew,Male,Adult,Yes
288,1st,Male,Adult,Yes
289,3rd,Male,Adult,No
290,3rd,Male,Child,No
291,3rd,Male,Adult,No
292,2nd,Female,Adult,Yes
293,Crew,Male,Adult,No
294,3rd,Male,Adult,Yes
295,1st,Male,Adult,No
296,Crew,Male,Adult,No
297,1st,Male,Adult,Yes
298,Crew,Male,Adult,No
299,Crew,Male,Adult,Yes
300,2nd,Male,Adult,No
301,3rd,Female,Adult,Yes
302,2nd,Male,Adult,Yes
303,3rd,Female,Child,No
304,3rd,Male,Child,No
305,Crew,Male,Adult,No
306,3rd,Male,Adult,No
307,Crew,Male,Adult,Yes
308,1st,Female,Adult,Yes
309,3rd,Male,Adult,Yes
310,Crew,Male,Adult,No
311,3rd,Male,Adult,No
312,Crew,Male,Adult,No
313,3rd,Female,Adult,No
314,3rd,Male,Adult,No
315,1st,Female,Adult,Yes
316,Crew,Male,Adult,No
317,3rd,Female,Adult,No
318,3rd,Female,Child,Yes
319,2nd,Male,Adult,No
320,2nd,Female,Adult,Yes
321,2nd,Female,Adult,Yes
322,Crew,Male,Adult,Yes
323,3rd,Male,Adult,No
324,3rd,Male,Adult,No
325,Crew,Male,Adult,No
326,Crew,Male,Adult,No
327,2nd,Male,Adult,Yes
328,3rd,Male,Adult,Yes
329,3rd,Female,Child,No
330,Crew,Male,Adult,Yes
331,3rd,Male,Adult,No
332,1st,Male,Adult,Yes
333,Crew,Male,Adult,No
334,2nd,Male,Adult,No
335,Crew,Male,Adult,No
336,1st,Male,Adult,Yes
337,1st,Female,Adult,Yes
338,3rd,Male,Adult,No
339,Crew,Male,Adult,Yes
340,3rd,Male,Adult,No
341,Crew,Male,Adult,No
342,1st,Female,Adult,Yes
343,Crew,Male,Adult,No
344,Crew,Male,Adult,No
345,Crew,Male,Adult,No
346,1st,Male,Adult,No
347,3rd,Male,Adult,No
348,3rd,Male,Adult,No
349,3rd,Female,Adult,Yes
350,3rd,Male,Adult,No
351,Crew,Male,Adult,No
352,Crew,Male,Adult,Yes
353,Crew,Male,Adult,Yes
354,Crew,Male,Adult,Yes
355,Crew,Male,Adult,Yes
356,3rd,Female,Adult,Yes
357,1st,Male,Adult,No
358,2nd,Female,Adult,Yes
359,1st,Male,Adult,No
360,Crew,Male,Adult,No
361,Crew,Male,Adult,Yes
362,Crew,Male,Adult,Yes
363,Crew,Male,Adult,No
364,1st,Male,Adult,No
365,3rd,Male,Adult,No
366,2nd,Male,Adult,No
367,Crew,Male,Adult,Yes
368,3rd,Male,Child,No
369,Crew,Male,Adult,No
370,3rd,Male,Adult,No
371,Crew,Male,Adult,No
372,3rd,Male,Adult,Yes
373,1st,Male,Adult,No
374,3rd,Male,Adult,No
375,3rd,Male,Adult,No
376,3rd,Male,Adult,No
377,3rd,Male,Adult,Yes
378,3rd,Male,Adult,No
379,2nd,Male,Adult,No
380,1st,Male,Adult,No
381,1st,Male,Adult,No
382,3rd,Female,Adult,No
383,1st,Female,Adult,Yes
384,3rd,Male,Adult,No
385,Crew,Male,Adult,Yes
386,2nd,Male,Adult,No
387,Crew,Male,Adult,No
388,Crew,Male,Adult,No
389,3rd,Female,Adult,No
390,3rd,Female,Child,Yes
391,Crew,Male,Adult,No
392,Crew,Male,Adult,No
393,Crew,Male,Adult,No
394,1st,Female,Adult,Yes
395,3rd,Male,Adult,No
396,3rd,Male,Adult,No
397,3rd,Male,Adult,No
398,3rd,Male,Adult,No
399,Crew,Male,Adult,No
400,2nd,Male,Adult,No
401,2nd,Male,Child,Yes
402,3rd,Male,Adult,No
403,3rd,Female,Adult,Yes
404,2nd,Male,Adult,No
405,Crew,Male,Adult,Yes
406,3rd,Male,Child,No
407,3rd,Male,Adult,No
408,Crew,Male,Adult,No
409,3rd,Male,Adult,Yes
410,1st,Male,Adult,Yes
411,2nd,Female,Adult,Yes
412,3rd,Male,Adult,No
413,1st,Female,Adult,Yes
414,1st,Male,Adult,No
415,Crew,Male,Adult,No
416,3rd,Male,Adult,No
417,3rd,Male,Adult,No
418,Crew,Male,Adult,No
419,Crew,Male,Adult,No
420,2nd,Male,Adult,No
421,Crew,Male,Adult,No
422,3rd,Male,Adult,No
423,Crew,Male,Adult,No
424,Crew,Male,Adult,No
425,3rd,Male,Adult,No
426,Crew,Male,Adult,No
427,3rd,Male,Adult,Yes
428,Crew,Male,Adult,No
429,2nd,Male,Adult,No
430,3rd,Male,Adult,Yes
431,Crew,Male,Adult,No
432,Crew,Male,Adult,No
433,Crew,Male,Adult,No
434,Crew,Male,Adult,No
435,1st,Female,Adult,Yes
436,3rd,Male,Adult,Yes
437,Crew,Male,Adult,No
438,Crew,Male,Adult,No
439,3rd,Male,Adult,No
440,Crew,Male,Adult,Yes
441,1st,Male,Adult,Yes
442,3rd,Female,Adult,Yes
443,1st,Male,Adult,No
444,1st,Female,Adult,Yes
445,Crew,Male,Adult,No
446,Crew,Male,Adult,No
447,3rd,Male,Adult,No
448,2nd,Female,Adult,Yes
449,2nd,Female,Adult,Yes
450,Crew,Male,Adult,No
451,2nd,Male,Adult,No
452,3rd,Male,Adult,No
453,1st,Male,Adult,No
454,3rd,Male,Adult,No
455,Crew,Male,Adult,No
456,Crew,Male,Adult,No
457,Crew,Male,Adult,No
458,Crew,Male,Adult,No
459,3rd,Male,Adult,No
460,Crew,Male,Adult,No
461,Crew,Male,Adult,Yes
462,Crew,Male,Adult,Yes
463,Crew,Male,Adult,No
464,1st,Male,Adult,No
465,1st,Male,Adult,No
466,1st,Male,Adult,No
467,Crew,Male,Adult,No
468,Crew,Male,Adult,No
469,3rd,Male,Adult,Yes
470,Crew,Male,Adult,Yes
471,Crew,Male,Adult,No
472,2nd,Male,Adult,No
473,3rd,Female,Adult,Yes
474,Crew,Male,Adult,No
475,1st,Female,Adult,Yes
476,3rd,Male,Adult,No
477,3rd,Male,Adult,No
478,1st,Male,Adult,Yes
479,3rd,Male,Child,Yes
480,3rd,Male,Adult,Yes
481,3rd,Female,Adult,Yes
482,3rd,Male,Adult,No
483,3rd,Male,Adult,No
484,Crew,Male,Adult,Yes
485,Crew,Male,Adult,No
486,Crew,Male,Adult,No
487,Crew,Male,Adult,No
488,1st,Male,Adult,Yes
489,3rd,Male,Adult,No
490,Crew,Male,Adult,No
491,2nd,Female,Adult,Yes
492,Crew,Male,Adult,No
493,Crew,Male,Adult,No
494,3rd,Male,Adult,No
495,Crew,Male,Adult,No
496,3rd,Male,Adult,No
497,Crew,Male,Adult,No
498,2nd,Male,Adult,No
499,1st,Female,Adult,Yes
500,3rd,Male,Adult,No
501,3rd,Male,Adult,No
502,Crew,Male,Adult,No
503,1st,Female,Adult,Yes
504,2nd,Male,Adult,No
505,Crew,Male,Adult,No
506,Crew,Male,Adult,No
507,Crew,Male,Adult,Yes
508,3rd,Male,Child,No
509,Crew,Male,Adult,No
510,3rd,Male,Adult,No
511,3rd,Male,Adult,No
512,Crew,Male,Adult,No
513,Crew,Male,Adult,No
514,Crew,Male,Adult,No
515,2nd,Female,Adult,Yes
516,2nd,Male,Adult,No
517,Crew,Male,Adult,No
518,3rd,Male,Child,No
519,Crew,Male,Adult,Yes
520,Crew,Male,Adult,No
521,Crew,Male,Adult,No
522,3rd,Male,Adult,No
523,3rd,Male,Adult,No
524,2nd,Male,Adult,No
525,Crew,Male,Adult,No
526,3rd,Female,Adult,No
527,Crew,Female,Adult,Yes
528,3rd,Female,Adult,No
529,Crew,Male,Adult,No
530,3rd,Female,Adult,Yes
531,Crew,Male,Adult,No
532,Crew,Male,Adult,Yes
533,3rd,Female,Adult,No
534,Crew,Male,Adult,No
535,Crew,Male,Adult,Yes
536,3rd,Male,Adult,Yes
537,2nd,Female,Adult,Yes
538,Crew,Male,Adult,No
539,Crew,Male,Adult,No
540,3rd,Male,Adult,No
541,2nd,Male,Adult,No
542,Crew,Male,Adult,No
543,Crew,Male,Adult,No
544,3rd,Male,Adult,No
545,Crew,Female,Adult,Yes
546,3rd,Male,Adult,Yes
547,3rd,Male,Adult,No
548,3rd,Male,Adult,No
549,Crew,Male,Adult,No
550,Crew,Male,Adult,No
551,3rd,Male,Child,No
552,3rd,Male,Adult,Yes
553,Crew,Male,Adult,No
554,3rd,Male,Adult,Yes
555,3rd,Female,Adult,Yes
556,3rd,Male,Adult,No
557,Crew,Male,Adult,No
558,3rd,Female,Adult,Yes
559,Crew,Male,Adult,No
560,Crew,Male,Adult,Yes
561,1st,Male,Adult,No
562,1st,Female,Adult,Yes
563,1st,Male,Adult,No
564,3rd,Male,Adult,No
565,1st,Male,Adult,No
566,3rd,Female,Adult,No
567,Crew,Male,Adult,No
568,3rd,Male,Adult,No
569,2nd,Male,Adult,No
570,3rd,Male,Adult,Yes
571,Crew,Male,Adult,Yes
572,2nd,Male,Adult,No
573,Crew,Male,Adult,No
574,Crew,Male,Adult,No
575,Crew,Male,Adult,No
576,Crew,Male,Adult,Yes
577,2nd,Male,Adult,No
578,Crew,Male,Adult,No
579,Crew,Male,Adult,No
580,3rd,Male,Adult,No
581,Crew,Male,Adult,Yes
582,Crew,Male,Adult,Yes
583,2nd,Male,Adult,No
584,Crew,Male,Adult,Yes
585,3rd,Male,Adult,No
586,Crew,Male,Adult,No
587,3rd,Female,Adult,No
588,3rd,Female,Adult,Yes
589,Crew,Male,Adult,No
590,3rd,Male,Adult,No
591,Crew,Male,Adult,No
592,Crew,Male,Adult,Yes
593,1st,Female,Adult,Yes
594,Crew,Male,Adult,Yes
595,Crew,Male,Adult,No
596,Crew,Male,Adult,No
597,3rd,Male,Adult,No
598,Crew,Male,Adult,No
599,Crew,Male,Adult,No
600,3rd,Female,Adult,No
601,Crew,Male,Adult,No
602,3rd,Female,Adult,No
603,Crew,Male,Adult,No
604,1st,Female,Adult,Yes
605,3rd,Male,Adult,No
606,Crew,Male,Adult,No
607,Crew,Male,Adult,No
608,Crew,Male,Adult,No
609,1st,Male,Adult,No
610,3rd,Female,Adult,No
611,1st,Female,Adult,Yes
612,3rd,Female,Adult,Yes
613,3rd,Male,Adult,No
614,3rd,Male,Adult,No
615,1st,Female,Adult,Yes
616,2nd,Female,Adult,Yes
617,1st,Female,Adult,Yes
618,Crew,Male,Adult,Yes
619,Crew,Male,Adult,No
620,3rd,Male,Adult,No
621,Crew,Male,Adult,Yes
622,1st,Male,Adult,No
623,Crew,Male,Adult,No
624,Crew,Male,Adult,No
625,1st,Female,Adult,Yes
626,1st,Male,Adult,No
627,1st,Female,Adult,No
628,3rd,Female,Adult,Yes
629,Crew,Male,Adult,No
630,3rd,Male,Adult,No
631,Crew,Male,Adult,No
632,3rd,Male,Adult,No
633,3rd,Male,Adult,No
634,2nd,Male,Adult,No
635,3rd,Male,Adult,No
636,2nd,Male,Adult,No
637,2nd,Female,Adult,Yes
638,Crew,Male,Adult,No
639,Crew,Male,Adult,No
640,2nd,Male,Adult,No
641,Crew,Male,Adult,No
642,2nd,Male,Adult,No
643,Crew,Male,Adult,No
644,3rd,Male,Adult,No
645,3rd,Male,Adult,No
646,1st,Male,Adult,No
647,Crew,Female,Adult,Yes
648,1st,Female,Adult,Yes
649,3rd,Male,Adult,Yes
650,3rd,Female,Adult,Yes
651,3rd,Female,Adult,No
652,Crew,Female,Adult,Yes
653,3rd,Male,Adult,No
654,2nd,Female,Adult,Yes
655,Crew,Male,Adult,No
656,Crew,Male,Adult,No
657,Crew,Male,Adult,Yes
658,Crew,Male,Adult,No
659,Crew,Male,Adult,No
660,2nd,Male,Adult,No
661,Crew,Male,Adult,No
662,2nd,Female,Adult,Yes
663,3rd,Male,Adult,No
664,1st,Female,Adult,Yes
665,2nd,Male,Adult,No
666,Crew,Male,Adult,No
667,3rd,Female,Child,Yes
668,3rd,Male,Adult,No
669,Crew,Male,Adult,No
670,3rd,Male,Child,No
671,Crew,Male,Adult,Yes
672,Crew,Male,Adult,Yes
673,2nd,Male,Adult,No
674,Crew,Male,Adult,No
675,3rd,Male,Adult,No
676,Crew,Male,Adult,No
677,1st,Male,Adult,No
678,1st,Male,Adult,No
679,2nd,Male,Adult,No
680,Crew,Male,Adult,No
681,3rd,Male,Adult,Yes
682,3rd,Male,Adult,No
683,Crew,Male,Adult,Yes
684,Crew,Male,Adult,No
685,3rd,Male,Adult,No
686,3rd,Male,Adult,No
687,3rd,Male,Adult,No
688,Crew,Male,Adult,No
689,Crew,Male,Adult,No
690,Crew,Male,Adult,Yes
691,3rd,Female,Adult,No
692,1st,Female,Adult,Yes
693,1st,Male,Adult,No
694,Crew,Male,Adult,Yes
695,Crew,Male,Adult,No
696,3rd,Male,Adult,No
697,1st,Male,Adult,Yes
698,Crew,Male,Adult,No
699,3rd,Female,Adult,No
700,Crew,Male,Adult,No
701,1st,Female,Adult,Yes
702,Crew,Male,Adult,No
703,3rd,Female,Adult,Yes
704,Crew,Male,Adult,No
705,Crew,Male,Adult,No
706,1st,Male,Adult,No
707,2nd,Female,Adult,No
708,1st,Male,Adult,No
709,Crew,Male,Adult,Yes
710,Crew,Male,Adult,No
711,3rd,Male,Adult,Yes
712,3rd,Female,Adult,No
713,3rd,Male,Adult,No
714,2nd,Female,Adult,Yes
715,3rd,Male,Adult,Yes
716,Crew,Male,Adult,No
717,2nd,Male,Adult,Yes
718,3rd,Male,Adult,No
719,Crew,Male,Adult,No
720,2nd,Male,Adult,No
721,2nd,Male,Adult,No
722,3rd,Male,Adult,No
723,3rd,Male,Adult,No
724,3rd,Female,Adult,No
725,Crew,Male,Adult,No
726,1st,Male,Adult,No
727,1st,Male,Child,Yes
728,Crew,Male,Adult,No
729,1st,Male,Adult,No
730,Crew,Male,Adult,No
731,Crew,Male,Adult,No
732,2nd,Male,Child,Yes
733,Crew,Male,Adult,No
734,3rd,Male,Adult,No
735,Crew,Male,Adult,No
736,Crew,Male,Adult,No
737,3rd,Male,Adult,No
738,1st,Female,Adult,Yes
739,3rd,Female,Adult,No
740,3rd,Male,Adult,Yes
741,3rd,Male,Adult,No
742,1st,Male,Adult,No
743,Crew,Male,Adult,No
744,3rd,Male,Adult,No
745,3rd,Male,Adult,No
746,2nd,Female,Adult,Yes
747,2nd,Male,Adult,No
748,Crew,Male,Adult,No
749,2nd,Male,Adult,No
750,3rd,Female,Adult,No
751,1st,Female,Adult,Yes
752,2nd,Female,Child,Yes
753,Crew,Male,Adult,No
754,3rd,Male,Adult,No
755,Crew,Male,Adult,Yes
756,Crew,Male,Adult,No
757,3rd,Female,Adult,No
758,3rd,Male,Adult,No
759,Crew,Male,Adult,No
760,Crew,Male,Adult,No
761,1st,Male,Adult,No
762,1st,Male,Adult,No
763,3rd,Male,Adult,No
764,3rd,Male,Adult,No
765,1st,Female,Adult,Yes
766,3rd,Male,Adult,Yes
767,Crew,Male,Adult,Yes
768,1st,Female,Adult,Yes
769,Crew,Female,Adult,Yes
770,2nd,Male,Adult,No
771,Crew,Male,Adult,Yes
772,1st,Male,Adult,No
773,Crew,Male,Adult,Yes
774,3rd,Female,Adult,No
775,Crew,Female,Adult,Yes
776,3rd,Male,Adult,No
777,Crew,Male,Adult,No
778,Crew,Male,Adult,No
779,Crew,Male,Adult,No
780,1st,Male,Adult,Yes
781,Crew,Male,Adult,No
782,3rd,Male,Adult,No
783,2nd,Female,Child,Yes
784,3rd,Male,Adult,Yes
785,Crew,Male,Adult,Yes
786,3rd,Male,Adult,No
787,Crew,Male,Adult,No
788,1st,Female,Adult,Yes
789,Crew,Male,Adult,No
790,3rd,Female,Child,Yes
791,3rd,Male,Adult,No
792,3rd,Male,Adult,No
793,Crew,Male,Adult,Yes
794,Crew,Male,Adult,No
795,3rd,Male,Adult,No
796,Crew,Male,Adult,Yes
797,Crew,Male,Adult,No
798,Crew,Male,Adult,No
799,3rd,Female,Adult,Yes
800,Crew,Male,Adult,No
801,1st,Male,Adult,No
802,2nd,Female,Adult,No
803,3rd,Female,Child,Yes
804,1st,Male,Adult,No
805,3rd,Female,Adult,Yes
806,Crew,Male,Adult,No
807,Crew,Male,Adult,No
808,2nd,Female,Child,Yes
809,3rd,Male,Adult,Yes
810,3rd,Male,Adult,No
811,1st,Female,Adult,Yes
812,3rd,Male,Adult,Yes
813,1st,Male,Adult,No
814,Crew,Male,Adult,No
815,3rd,Female,Adult,No
816,3rd,Male,Adult,No
817,2nd,Male,Child,Yes
818,Crew,Male,Adult,No
819,3rd,Male,Adult,No
820,Crew,Male,Adult,Yes
821,3rd,Female,Adult,Yes
822,Crew,Male,Adult,No
823,Crew,Male,Adult,No
824,3rd,Female,Adult,No
825,Crew,Male,Adult,No
826,Crew,Male,Adult,No
827,3rd,Male,Adult,Yes
828,3rd,Male,Adult,No
829,3rd,Male,Adult,No
830,3rd,Male,Adult,No
831,Crew,Male,Adult,No
832,3rd,Male,Adult,No
833,Crew,Male,Adult,No
834,Crew,Male,Adult,No
835,1st,Male,Adult,Yes
836,2nd,Male,Adult,No
837,1st,Male,Adult,Yes
838,3rd,Male,Adult,No
839,Crew,Male,Adult,No
840,3rd,Female,Adult,Yes
841,Crew,Male,Adult,No
842,Crew,Male,Adult,No
843,3rd,Female,Adult,No
844,3rd,Male,Adult,No
845,3rd,Male,Child,Yes
846,Crew,Male,Adult,No
847,3rd,Male,Adult,No
848,Crew,Male,Adult,No
849,3rd,Male,Adult,No
850,Crew,Male,Adult,No
851,Crew,Male,Adult,No
852,Crew,Male,Adult,No
853,2nd,Female,Adult,Yes
854,Crew,Male,Adult,Yes
855,3rd,Male,Adult,No
856,3rd,Male,Adult,No
857,3rd,Male,Adult,No
858,2nd,Female,Adult,No
859,3rd,Male,Adult,Yes
860,Crew,Male,Adult,No
861,3rd,Female,Adult,No
862,Crew,Male,Adult,No
863,Crew,Male,Adult,No
864,3rd,Male,Child,No
865,1st,Male,Adult,No
866,2nd,Male,Adult,No
867,3rd,Female,Adult,No
868,3rd,Female,Adult,Yes
869,2nd,Male,Adult,No
870,Crew,Male,Adult,Yes
871,3rd,Male,Adult,No
872,3rd,Female,Adult,No
873,1st,Female,Adult,Yes
874,2nd,Female,Adult,Yes
875,1st,Male,Adult,No
876,Crew,Male,Adult,No
877,3rd,Male,Adult,Yes
878,Crew,Male,Adult,No
879,3rd,Male,Adult,Yes
880,Crew,Male,Adult,No
881,Crew,Male,Adult,Yes
882,Crew,Male,Adult,No
883,Crew,Male,Adult,No
884,1st,Female,Adult,Yes
885,3rd,Male,Adult,No
886,Crew,Male,Adult,No
887,Crew,Male,Adult,Yes
888,2nd,Male,Adult,No
889,1st,Female,Adult,Yes
890,Crew,Male,Adult,No
891,3rd,Male,Child,Yes
892,Crew,Male,Adult,No
893,Crew,Male,Adult,No
894,Crew,Male,Adult,No
895,Crew,Male,Adult,Yes
896,3rd,Female,Adult,No
897,3rd,Male,Adult,No
898,2nd,Male,Adult,No
899,3rd,Male,Adult,No
900,1st,Female,Adult,Yes
901,Crew,Male,Adult,No
902,3rd,Female,Child,No
903,Crew,Male,Adult,No
